DHFL,IGL,PNB,TATAPOWER,VOLTAS,mov_avg_14,mov_std_14,Upper,Lower,Daily_Average_DHFL
431.4,1000.25,166.8,83.55,431.85,,,,,430.95
424.45,1005.8,174.15,83.85,432.45,,,,,426.63333333333327
429.0,1019.1,165.05,85.35,430.2,,,,,427.2
417.95,1002.55,158.5,83.75,414.1,,,,,420.8
404.2,1000.15,155.2,84.15,415.75,,,,,409.76666666666665
404.0,987.2,150.95,82.05,415.65,,,,,405.4666666666667
402.0,981.45,149.75,80.5,409.85,,,,,400.3333333333333
395.55,982.65,147.45,80.25,446.5,,,,,398.6499999999999
405.5,984.45,150.7,80.4,474.75,,,,,403.4666666666667
410.65,1026.05,150.65,81.05,498.5,,,,,411.59999999999997
410.95,1026.05,145.1,81.15,484.6,,,,,413.5333333333333
412.15,1059.8,146.35,82.4,485.6,,,,,411.3833333333334
416.65,1074.35,150.5,81.0,486.35,,,,,416.8833333333334
416.9,1063.9,151.9,80.7,508.85,412.9535714285713,10.48554800823338,433.92466744503804,391.9824754121046,416.90000000000003
414.25,1088.35,153.05,81.05,500.45,411.72857142857134,9.071123123697243,429.87081767596584,393.58632518117685,415.0
430.75,1085.25,153.8,81.0,494.95,412.1785714285714,9.871690570782436,431.9219525701363,392.4351902870065,425.56666666666666
424.6,1116.75,149.5,79.6,487.0,411.8642857142857,9.351273639527337,430.56683299334037,393.16173843523103,427.2
431.45,1106.2,152.35,80.0,483.25,412.82857142857137,10.63502403681987,434.0986195022111,391.55852335493165,429.2
434.45,1095.95,151.3,79.05,487.65,414.9892857142857,11.760497415098955,438.51028054448363,391.46829088408776,434.2833333333333
435.7,1098.7,152.15,77.8,492.35,417.2535714285714,12.509726435638198,442.27302429984775,392.234118557295,435.38333333333327
428.35,1073.55,148.4,78.9,486.55,419.13571428571424,12.010499070067299,443.15671242584887,395.1147161455796,429.90000000000003
440.1,1090.95,148.75,78.1,491.55,422.3178571428571,11.1518471588766,444.6215514606103,400.01416282510394,437.81666666666666
446.4,1073.6,152.0,77.55,491.45,425.2392857142857,11.748488913823797,448.7362635419333,401.7423078866381,445.65000000000003
463.25,1063.5,147.45,77.1,494.4,428.99642857142857,14.750990374648264,458.4984093207251,399.49444782213203,457.1166666666666
454.8,1060.45,147.65,77.9,489.55,432.12857142857143,15.27063187304954,462.66983517467054,401.58730768247233,457.5
458.85,1069.7,147.25,78.05,474.15,435.4642857142858,15.666260029014625,466.79680577231505,404.1317656562565,458.6333333333334
459.9,1086.35,143.9,82.1,470.85,438.5535714285715,15.932857490174056,470.4192864089196,406.6878564482234,460.7666666666667
461.2,1093.7,146.2,81.75,468.3,441.7178571428572,15.698929497345809,473.1157161375488,410.3199981481656,461.3999999999999
456.5,1077.2,145.55,82.75,465.7,444.7357142857144,13.979262506290404,472.6942392982952,416.77718927313356,459.25
439.8,1068.0,143.9,81.5,454.3,445.3821428571429,13.483231853260834,472.3486065636646,418.41567915062126,444.6333333333334
426.5,1052.2,137.0,81.1,446.05,445.5178571428572,13.26576865966931,472.04939446219583,418.9863198235186,429.9666666666667
427.85,1036.15,136.5,81.65,449.85,445.2607142857144,13.590355440127656,472.44142516596975,418.0800034054591,426.90000000000003
436.2,1052.75,138.05,81.55,453.65,445.3857142857144,13.490957492555168,472.36762927082475,418.4037993006041,435.65000000000003
437.2,1056.65,137.3,80.55,457.25,445.49285714285725,13.41385416338197,472.3205654696212,418.6651488160933,435.56666666666666
442.45,1052.35,139.25,80.4,469.0,446.50000000000006,12.527784505465466,471.555569010931,421.44443098906913,441.7166666666667
435.95,1062.0,136.55,81.2,463.35,446.2035714285715,12.73819912832906,471.6799696852296,420.72717317191336,438.18333333333334
435.8,1072.0,136.6,81.75,475.75,445.4464285714286,13.037143155168154,471.52071488176495,419.3721422610923,436.06666666666666
437.9,1073.4,143.3,81.95,470.75,443.6357142857143,12.101023932699944,467.8377621511142,419.4336664203144,438.6166666666666
435.55,1072.35,144.2,81.7,466.55,442.2607142857143,11.825399303250418,465.9115128922151,418.6099156792135,436.3333333333333
437.05,1072.3,153.25,83.45,467.0,440.7035714285715,10.869584669117666,462.4427407668068,418.96440209033614,448.0
437.45,1117.75,149.4,83.0,463.1,439.1,9.372648423019806,457.8452968460396,420.35470315396043,439.65000000000003
434.9,1121.2,152.35,83.05,473.6,437.2214285714286,6.916138158897946,451.0537048892245,423.3891522536327,433.73333333333335
443.0,1125.1,152.25,83.25,484.75,436.25714285714287,4.561876180445012,445.3808952180329,427.13339049625284,440.6166666666666
443.05,1121.85,153.65,82.95,482.85,436.48928571428576,4.830797774990631,446.150881264267,426.8276901643045,443.01666666666665
456.15,1145.3,152.9,83.4,483.8,438.60714285714283,6.369031358029101,451.34520557320104,425.8690801410846,451.9166666666667
459.75,1128.6,154.85,82.45,485.55,440.88571428571424,7.775489808252553,456.43669390221936,425.3347346692091,459.1166666666666
469.25,1134.1,158.3,82.95,493.75,443.24642857142857,10.70769788311389,464.66182433765636,421.8310328052008,466.8
477.6,1124.8,156.75,82.9,490.9,446.13214285714287,13.91606165472186,473.9642661665866,418.30001954769915,475.2666666666667
458.75,1146.2,158.25,83.35,499.7,447.29642857142863,14.261870417382008,475.82016940619263,418.77268773666464,461.48333333333335
455.9,1135.9,161.3,83.25,502.3,448.7214285714286,14.035843049488994,476.79311467040657,420.6497424724506,457.18333333333334
462.55,1124.4,162.95,83.0,504.15,450.63214285714287,13.962086122821963,478.5563151027868,422.7079706114989,460.25
458.75,1131.8,158.9,82.55,499.05,452.1214285714286,13.60700772913201,479.33544402969267,424.9074131131646,460.1166666666666
449.75,1177.0,154.15,82.0,515.9,453.1357142857143,12.780896630570084,478.69750754685447,427.57392102457413,452.8333333333333
460.4,1190.65,158.85,82.15,510.8,454.80357142857144,12.02127064008614,478.8461127087437,430.7610301483992,456.8
456.75,1179.1,162.3,82.0,504.25,456.1821428571429,10.935749545955575,478.05364194905405,434.3106437652317,458.98333333333335
465.95,1189.95,157.5,82.8,533.65,458.40000000000003,9.316218281949093,477.0324365638982,439.76756343610185,463.2666666666667
460.8,1176.9,158.95,82.6,542.35,459.67142857142863,8.200673384304707,476.07277534003805,443.2700818028192,462.76666666666665
450.85,1184.45,149.3,82.65,538.3,460.22857142857146,7.186866073334301,474.60230357524006,445.85483928190285,452.3666666666666
456.7,1180.25,151.05,80.25,541.7,460.2678571428572,7.164324197633077,474.5965055381234,445.93920874759107,452.75
456.75,1196.4,152.1,80.0,536.85,460.0535714285715,7.225607887275572,474.50478720312265,445.60235565402036,457.95
448.85,1225.1,148.8,78.25,537.45,458.59642857142865,7.2850865652877435,473.16660170200413,444.02625544085316,452.2833333333333
427.85,1231.0,148.3,77.8,527.6,455.04285714285726,9.187614094380153,473.4180853316176,436.6676289540969,433.1499999999999
406.35,1214.2,143.15,76.7,520.15,451.3000000000001,15.83201478990254,482.9640295798052,419.63597042019506,408.3333333333333
416.8,1215.5,140.35,76.55,517.2,448.50714285714304,18.22587823295869,484.9588993230604,412.0553863912257,409.3333333333333
438.75,1295.65,143.2,79.55,554.2,446.807142857143,17.92272791246288,482.65259868206874,410.96168703221724,434.18333333333334
449.0,1274.35,147.55,82.05,542.5,446.11071428571444,17.60965839195408,481.3300310696226,410.8913975018063,443.26666666666665
448.45,1274.35,146.3,81.65,543.35,446.0178571428573,17.592411029309655,481.2026792014766,410.83303508423796,448.7833333333333
450.35,1277.5,142.15,80.3,537.7,445.3000000000002,17.160139411303888,479.62027882260793,410.97972117739243,447.1333333333334
448.75,1256.25,137.6,80.2,532.6,444.7285714285716,16.880447431703512,478.48946629197866,410.9676765651646,452.4166666666667
455.8,1259.3,138.0,80.05,524.9,444.00357142857166,16.09876326217107,476.2010979529138,411.8060449042295,456.4666666666667
